Dataset,Dose,Molecule,T1,T2,T3,TT,THH,TH1,THN
Pseudohelix 1,1.22,A,92.2020712673995,92.75680835841553,172.94959740255413,5.007562475930854,69.69673891256109,-3.09056785138705,-3.945045733395247
Pseudohelix 2,1.74,A,92.40051225060162,94.70389084290147,170.48792429458686,6.309045888144567,67.89163866404489,-0.9661295844845057,-4.27024287959334
Pseudohelix 3,2.07,A,92.84926158752779,93.85171781622456,170.10656605596535,7.26641844062334,66.61580085706308,1.042653974501647,-3.9165609501635856
Pseudohelix 4,2.37,A,92.75607897777655,94.33514943351689,170.03931449552618,6.97999080664772,66.93625593494971,1.1176764667426085,-3.933893771786245
Pseudohelix 5,2.74,A,93.12436844978323,94.02151042792434,170.70966766745246,5.926248211031179,67.7618650441361,0.6377957490797854,-4.327318280830951
Pseudohelix 6,2.98,A,93.25161696991036,93.64456559202087,170.2379914613738,6.899543075762068,66.57341847160927,1.2689649928471027,-3.9057332570667853
Pseudohelix 7,3.39,A,92.6276154965214,94.67598316523285,170.51103444988024,6.042706322048346,68.20087662591342,0.12912319912379644,-4.42821290400434
Pseudohelix 8,3.56,A,92.60813693002832,93.86659844176543,171.08672450625622,6.11533603161547,66.95229297586471,-0.08359867487489225,-4.224366372416426
Pseudohelix 9,3.81,A,92.98240849963439,94.32447878904959,170.14627748090484,6.597017820232352,67.06149270897214,0.5220790032521023,-4.347343100370395
Pseudohelix 10,3.94,A,92.95307456349248,94.70402481434162,170.24477932676658,6.029029269628637,67.10250225812896,0.4226172148869267,-4.808937204643669
Pseudohelix 11,4.18,A,92.93494018410446,93.72916246938284,170.68734173564982,6.495011686924073,67.47358244506616,0.6497044374205103,-4.221199787007436
Pseudohelix 12,4.44,A,93.21114670628069,94.87730037526146,169.57706606323094,6.556017369493304,67.55084174306003,1.2788113387299944,-4.944752001956346
Pseudohelix 13,4.9,A,92.14344220792609,94.88440340794018,170.67749952917958,6.108484835404084,67.04801070067964,-0.5760415482607613,-4.512509943137218
Pseudohelix 14,5.12,A,92.89231602478996,93.71119319216392,171.20473092455038,5.800648368339424,66.50339755558215,0.07035870864690708,-4.267185832973695
Pseudohelix 15,5.27,A,93.00707579127211,93.85294625539449,170.76775572718503,6.168382881885947,67.19756060175514,-0.569990345336933,-4.230997454352874
Pseudohelix 16,5.33,A,93.18159604859224,94.23186002748167,170.18447043978063,6.4202799443115595,68.03397211487919,0.5262499342313731,-4.210309045728124
Pseudohelix 17,5.56,A,93.11917264701322,93.54571205926794,171.27377803909448,5.625002742886153,67.89856688913827,-0.9190891103031333,-4.3385614497552325
Pseudohelix 18,5.7,A,93.20706642270281,94.74078056272141,169.95419859942314,6.128459908687034,68.40349643230795,0.5308080152237409,-4.811213390906644
Pseudohelix 19,5.91,A,93.08279367845084,93.79664218644456,170.9823133660693,5.821041671874241,67.73787479783657,-0.5547301722797471,-4.517520233645698
Pseudohelix 20,5.82,A,92.7851252189637,94.28967244553243,170.74090605179416,5.960623155752032,67.3730712425467,-0.9942390533072825,-4.657725500851257
Pseudohelix 21,5.81,A,93.56540138867199,93.48045532921219,170.66335645798085,6.118594314630187,67.97494527828346,0.6528604084755898,-4.0686302028177295
Pseudohelix 22,5.6,A,93.45577737187402,94.81888658751257,169.8775497919436,5.815223414343166,67.34738716120442,0.37118065973588443,-4.505489792449836
