,pseudohelix_1,pseudohelix_2,pseudohelix_3,pseudohelix_4,pseudohelix_5,pseudohelix_6,pseudohelix_7,pseudohelix_8,pseudohelix_9,pseudohelix_10,pseudohelix_11,pseudohelix_12,pseudohelix_13,pseudohelix_14,pseudohelix_15,pseudohelix_16,pseudohelix_17,pseudohelix_18,pseudohelix_19,pseudohelix_20,pseudohelix_21,pseudohelix_22,pseudohelix_23,pseudohelix_24,pseudohelix_25,pseudohelix_26,pseudohelix_27,pseudohelix_28,pseudohelix_29,pseudohelix_30,pseudohelix_31,pseudohelix_32,pseudohelix_33,pseudohelix_34,pseudohelix_35,pseudohelix_36
Wavelength,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Resolution range,44.54  - 1.1 (1.11  - 1.1),44.54  - 1.1 (1.11  - 1.1),44.54  - 1.1 (1.11  - 1.1),44.54  - 1.1 (1.11  - 1.1),44.54  - 1.1 (1.11  - 1.1),44.54  - 1.1 (1.11  - 1.1),44.54  - 1.1 (1.11  - 1.1),44.54  - 1.1 (1.11  - 1.1),44.54  - 1.1 (1.11  - 1.1),44.54  - 1.1 (1.11  - 1.1),44.53  - 1.1 (1.11  - 1.1),44.53  - 1.1 (1.11  - 1.1),44.52  - 1.1 (1.11  - 1.1),44.52  - 1.1 (1.11  - 1.1),44.52  - 1.1 (1.11  - 1.1),44.53  - 1.1 (1.11  - 1.1),44.53  - 1.1 (1.11  - 1.1),44.52  - 1.1 (1.11  - 1.1),44.51  - 1.1 (1.11  - 1.1),34.35  - 1.1 (1.11  - 1.1),34.35  - 1.1 (1.11  - 1.1),44.49  - 1.1 (1.11  - 1.1),44.5  - 1.1 (1.11  - 1.1),44.51  - 1.1 (1.11  - 1.1),44.52  - 1.1 (1.11  - 1.1),44.54  - 1.1 (1.11  - 1.1),44.54  - 1.1 (1.11  - 1.1),44.52  - 1.1 (1.11  - 1.1),44.52  - 1.1 (1.11  - 1.1),44.52  - 1.1 (1.11  - 1.1),44.52  - 1.1 (1.11  - 1.1),44.52  - 1.1 (1.11  - 1.1),44.52  - 1.1 (1.11  - 1.1),44.52  - 1.1 (1.11  - 1.1),44.52  - 1.1 (1.11  - 1.1),44.52  - 1.1 (1.11  - 1.1)
Space group,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1
Unit cell,67.559 42.21 69.553 90 98.94 90,67.566 42.213 69.557 90 98.94 90,67.566 42.212 69.554 90 98.94 90,67.566 42.214 69.557 90 98.94 90,67.569 42.219 69.56 90 98.94 90,67.572 42.22 69.558 90 98.95 90,67.57 42.218 69.555 90 98.95 90,67.572 42.22 69.557 90 98.95 90,67.568 42.218 69.552 90 98.95 90,67.569 42.221 69.557 90 98.95 90,67.567 42.221 69.559 90 98.96 90,67.566 42.22 69.551 90 98.97 90,67.558 42.228 69.558 90 98.98 90,67.554 42.225 69.557 90 98.98 90,67.556 42.225 69.564 90 98.98 90,67.562 42.224 69.564 90 98.96 90,67.551 42.228 69.562 90 98.97 90,67.539 42.228 69.568 90 98.97 90,67.522 42.234 69.58 90 98.99 90,67.51 42.22 69.551 90 99 90,67.512 42.223 69.552 90 99.01 90,67.492 42.222 69.556 90 98.99 90,67.484 42.231 69.573 90 98.98 90,67.485 42.225 69.587 90 98.96 90,67.489 42.226 69.575 90 98.95 90,67.513 42.224 69.572 90 98.92 90,67.513 42.223 69.569 90 98.92 90,67.53 42.213 69.532 90 98.95 90,67.537 42.217 69.53 90 98.94 90,67.533 42.211 69.528 90 98.95 90,67.539 42.216 69.528 90 98.95 90,67.54 42.212 69.523 90 98.95 90,67.547 42.221 69.518 90 98.94 90,67.543 42.22 69.516 90 98.94 90,67.543 42.219 69.515 90 98.94 90,67.544 42.223 69.519 90 98.94 90
Total reflections,540709 (20456),540405 (20400),540977 (20431),541054 (20399),542034 (20475),541601 (20430),542990 (19697),542326 (20392),542780 (19714),543409 (20453),543476 (20447),543286 (20466),542633 (20439),543358 (20375),543242 (20435),543297 (20453),544932 (20424),544250 (20399),545223 (19735),544173 (20380),544991 (19587),545079 (20394),545164 (20323),544162 (20313),543691 (20323),543292 (20366),542698 (20397),542929 (20393),543393 (20414),543295 (20451),543724 (20443),543343 (20430),544098 (20439),543300 (20395),544006 (20396),546117 (20479)
Unique reflections,287490 (10263),287711 (10285),287755 (10239),287814 (10283),288147 (10285),288139 (10249),288362 (9908),288386 (10257),288496 (9911),288712 (10289),288792 (10270),288869 (10297),289211 (10284),288964 (10228),289482 (10309),289579 (10326),289759 (10308),289925 (10312),290065 (10017),288980 (10328),288935 (9915),287630 (10256),286950 (10171),285649 (10118),285061 (10092),285218 (10139),285364 (10152),286536 (10197),286606 (10184),286668 (10191),286826 (10207),286982 (10222),287068 (10218),287004 (10186),287163 (10173),287413 (10193)
Multiplicity,3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8)
Completeness (%),93.26 (89.58),93.30 (89.71),93.32 (89.33),93.34 (89.63),93.42 (89.57),93.42 (89.25),93.50 (89.59),93.50 (89.31),93.55 (89.62),93.62 (89.58),93.63 (89.50),93.68 (89.69),93.77 (89.66),93.70 (89.22),93.86 (89.85),93.88 (89.93),93.95 (89.90),94.01 (89.89),94.05 (90.27),93.79 (90.00),93.77 (89.92),93.37 (89.40),93.12 (88.89),92.68 (88.47),92.50 (88.19),92.52 (88.26),92.56 (88.40),93.00 (88.77),93.00 (88.60),93.05 (88.68),93.08 (88.82),93.14 (88.90),93.15 (88.93),93.14 (88.70),93.20 (88.67),93.26 (88.75)
Mean I/sigma(I),5.23 (0.94),5.31 (0.95),5.41 (0.94),5.45 (0.98),5.32 (0.92),5.30 (0.91),5.31 (0.88),5.27 (0.90),5.23 (0.88),5.28 (0.90),5.23 (0.88),5.20 (0.87),5.26 (0.87),5.22 (0.84),5.28 (0.87),5.32 (0.88),5.37 (0.85),5.30 (0.83),5.32 (0.85),5.78 (1.07),5.75 (1.03),5.75 (1.03),5.79 (1.00),5.78 (1.04),5.69 (1.01),5.58 (0.97),5.45 (0.93),5.43 (0.91),5.39 (0.89),5.42 (0.88),5.37 (0.86),5.45 (0.88),5.32 (0.84),5.32 (0.84),5.31 (0.83),5.22 (0.81)
Wilson B-factor,9.31,9.36,9.41,9.43,9.42,9.49,9.52,9.48,9.54,9.57,9.68,9.56,9.62,9.68,9.55,9.56,9.65,9.68,9.70,9.41,9.46,9.50,9.52,9.50,9.56,9.61,9.63,9.73,9.77,9.81,9.83,9.84,9.89,9.96,9.85,9.99
